day_of_week,hour,is_weekend,from_station,to_station,demand
Thursday,19,0,Edappally,Changampuzha Park,129
Thursday,19,0,MG Road,Aluva,140
Thursday,19,0,Changampuzha Park,Kalamassery,145
Thursday,19,0,Pathadipalam,Aluva,212
Thursday,20,0,Kalamassery,Cochin University,184
Thursday,20,0,Muttom,Kalamassery,188
Thursday,20,0,Kalamassery,Pathadipalam,222
Thursday,20,0,Changampuzha Park,Aluva,151
Thursday,20,0,Pulinchodu,Pathadipalam,199
Thursday,21,0,Cochin University,Ambattukavu,64
Thursday,21,0,MG Road,Pulinchodu,100
Thursday,21,0,Pulinchodu,MG Road,37
Thursday,21,0,Kalamassery,Edappally,69
Thursday,21,0,Ambattukavu,Companypady,74
Thursday,22,0,Ambattukavu,MG Road,96
Thursday,22,0,Edappally,Aluva,94
Thursday,22,0,MG Road,Aluva,66
Thursday,22,0,Companypady,Ambattukavu,56
Thursday,22,0,Ambattukavu,Pulinchodu,108
Friday,6,0,Changampuzha Park,Edappally,47
Friday,6,0,Muttom,MG Road,57
Friday,6,0,Cochin University,Pulinchodu,84
Friday,6,0,Changampuzha Park,Cochin University,91
Friday,6,0,Pulinchodu,Companypady,79
Friday,7,0,Aluva,Ambattukavu,148
Friday,7,0,Edappally,Changampuzha Park,167
Friday,7,0,Edappally,Kalamassery,117
Friday,7,0,Pathadipalam,MG Road,161
Friday,7,0,Edappally,Pulinchodu,209
Friday,8,0,Pathadipalam,Ambattukavu,141
Friday,8,0,MG Road,Cochin University,121
Friday,8,0,Pulinchodu,Muttom,133
Friday,8,0,Changampuzha Park,Pulinchodu,120
Friday,8,0,Kalamassery,MG Road,137
Friday,9,0,Pulinchodu,Changampuzha Park,200
Friday,9,0,Pathadipalam,Ambattukavu,148
Friday,9,0,Cochin University,Kalamassery,144
Friday,9,0,Cochin University,Edappally,116
Friday,9,0,Pulinchodu,MG Road,143
Friday,10,0,MG Road,Kalamassery,151
Friday,10,0,Pathadipalam,Kalamassery,138
Friday,10,0,Kalamassery,Pulinchodu,168
Friday,10,0,MG Road,Muttom,179
Friday,10,0,Ambattukavu,Aluva,189
Friday,11,0,Changampuzha Park,Pulinchodu,70
Friday,11,0,Companypady,Changampuzha Park,85
Friday,11,0,Cochin University,Aluva,104
Friday,11,0,Kalamassery,Edappally,72
Friday,11,0,Muttom,Pathadipalam,91
Friday,12,0,Changampuzha Park,Edappally,52
Friday,12,0,Companypady,Ambattukavu,71
Friday,12,0,Pathadipalam,Muttom,72
Friday,12,0,Companypady,Pulinchodu,59
Friday,12,0,Kalamassery,Edappally,71
Friday,13,0,Edappally,Ambattukavu,62
Friday,13,0,Companypady,MG Road,99
Friday,13,0,Ambattukavu,Aluva,65
Friday,13,0,Edappally,Cochin University,59
Friday,13,0,MG Road,Ambattukavu,61
Friday,14,0,MG Road,Aluva,75
Friday,14,0,Pathadipalam,Companypady,73
Friday,14,0,Aluva,Kalamassery,96
Friday,14,0,Aluva,Cochin University,78
Friday,14,0,Pathadipalam,Muttom,85
Friday,15,0,Muttom,Companypady,68
Friday,15,0,MG Road,Kalamassery,48
Friday,15,0,Kalamassery,MG Road,45
Friday,15,0,Kalamassery,Muttom,52
Friday,15,0,Kalamassery,Edappally,66
Friday,16,0,Cochin University,Aluva,168
Friday,16,0,Cochin University,Aluva,163
Friday,16,0,Pulinchodu,Cochin University,169
Friday,16,0,Aluva,Ambattukavu,167
Friday,16,0,Cochin University,MG Road,157
Friday,17,0,Aluva,Pulinchodu,173
Friday,17,0,Edappally,MG Road,209
Friday,17,0,Kalamassery,Cochin University,117
Friday,17,0,Changampuzha Park,Cochin University,187
Friday,17,0,Pathadipalam,Edappally,212
Friday,18,0,Companypady,Aluva,171
Friday,18,0,Pathadipalam,Companypady,165
Friday,18,0,Companypady,Pathadipalam,126
Friday,18,0,Cochin University,Changampuzha Park,194
Friday,18,0,Pathadipalam,Edappally,136
Friday,19,0,Pulinchodu,Companypady,121
Friday,19,0,Companypady,Ambattukavu,212
Friday,19,0,Edappally,Pathadipalam,130
Friday,19,0,Pulinchodu,Companypady,165
Friday,19,0,MG Road,Pulinchodu,196
Friday,20,0,Muttom,Edappally,189
Friday,20,0,Pulinchodu,Kalamassery,152
Friday,20,0,Kalamassery,MG Road,208
Friday,20,0,MG Road,Pulinchodu,134
Friday,20,0,Ambattukavu,MG Road,201
Friday,21,0,Pathadipalam,Ambattukavu,86
Friday,21,0,Cochin University,Ambattukavu,70
Friday,21,0,Changampuzha Park,Muttom,82
Friday,21,0,Ambattukavu,Kalamassery,47
Friday,21,0,Cochin University,Ambattukavu,42
Friday,22,0,Pulinchodu,Companypady,76
Friday,22,0,MG Road,Pulinchodu,91
Friday,22,0,Edappally,MG Road,55
Friday,22,0,Muttom,Pathadipalam,58
Friday,22,0,Pulinchodu,Cochin University,101
Saturday,6,1,Muttom,Aluva,34
Saturday,6,1,Companypady,Kalamassery,20
Saturday,6,1,Muttom,MG Road,15
Saturday,6,1,Cochin University,Pathadipalam,75
Saturday,6,1,Companypady,Cochin University,52
Saturday,7,1,Pulinchodu,Companypady,179
Saturday,7,1,Changampuzha Park,Kalamassery,154
Saturday,7,1,Pathadipalam,Companypady,116
Saturday,7,1,Pathadipalam,Ambattukavu,146
Saturday,7,1,Aluva,Pulinchodu,159
Saturday,8,1,Kalamassery,Aluva,147
Saturday,8,1,Aluva,Cochin University,165
Saturday,8,1,Aluva,MG Road,113
Saturday,8,1,Muttom,Kalamassery,115
Saturday,8,1,MG Road,Kalamassery,139
Saturday,9,1,MG Road,Pulinchodu,164
Saturday,9,1,Pathadipalam,MG Road,188
Saturday,9,1,Kalamassery,Edappally,117
Saturday,9,1,Changampuzha Park,MG Road,126
Saturday,9,1,Kalamassery,Aluva,137
Saturday,10,1,Kalamassery,Cochin University,121
Saturday,10,1,Edappally,Aluva,141
Saturday,10,1,Companypady,Pathadipalam,145
Saturday,10,1,Cochin University,Kalamassery,145
Saturday,10,1,MG Road,Companypady,143
Saturday,11,1,Pathadipalam,Cochin University,38
Saturday,11,1,Changampuzha Park,MG Road,65
Saturday,11,1,Cochin University,Muttom,59
Saturday,11,1,Cochin University,Ambattukavu,32
Saturday,11,1,Pathadipalam,Cochin University,72
Saturday,12,1,Companypady,Muttom,26
Saturday,12,1,Aluva,Ambattukavu,57
Saturday,12,1,MG Road,Aluva,40
Saturday,12,1,Changampuzha Park,Kalamassery,48
Saturday,12,1,Pathadipalam,Ambattukavu,25
Saturday,13,1,Companypady,MG Road,80
Saturday,13,1,Cochin University,Aluva,83
Saturday,13,1,Cochin University,Muttom,24
Saturday,13,1,Edappally,Companypady,64
Saturday,13,1,Companypady,Ambattukavu,81
Saturday,14,1,Pulinchodu,Edappally,37
Saturday,14,1,Cochin University,Aluva,54
Saturday,14,1,Cochin University,Changampuzha Park,69
Saturday,14,1,Companypady,Edappally,78
Saturday,14,1,Muttom,Changampuzha Park,15
Saturday,15,1,Pulinchodu,Companypady,26
Saturday,15,1,Aluva,Ambattukavu,50
Saturday,15,1,Kalamassery,Changampuzha Park,81
Saturday,15,1,Aluva,MG Road,80
Saturday,15,1,Muttom,Changampuzha Park,75
Saturday,16,1,Muttom,Pathadipalam,139
Saturday,16,1,Ambattukavu,Changampuzha Park,177
Saturday,16,1,Edappally,Kalamassery,98
Saturday,16,1,Companypady,Cochin University,201
Saturday,16,1,MG Road,Pulinchodu,155
Saturday,17,1,Edappally,Companypady,171
Saturday,17,1,Changampuzha Park,Cochin University,142
Saturday,17,1,Pathadipalam,Companypady,181
Saturday,17,1,Companypady,Ambattukavu,192
Saturday,17,1,Changampuzha Park,Companypady,123
Saturday,18,1,Edappally,MG Road,120
Saturday,18,1,Edappally,MG Road,156
Saturday,18,1,Aluva,Changampuzha Park,171
Saturday,18,1,Edappally,Changampuzha Park,156
Saturday,18,1,Changampuzha Park,MG Road,159
Saturday,19,1,Companypady,Ambattukavu,108
Saturday,19,1,Aluva,Kalamassery,139
Saturday,19,1,MG Road,Muttom,132
Saturday,19,1,Pathadipalam,Edappally,203
Saturday,19,1,Ambattukavu,Pathadipalam,186
Saturday,20,1,Ambattukavu,Cochin University,167
Saturday,20,1,Pulinchodu,Cochin University,130
Saturday,20,1,Kalamassery,MG Road,202
Saturday,20,1,Aluva,Kalamassery,116
Saturday,20,1,Muttom,MG Road,155
Saturday,21,1,Changampuzha Park,MG Road,42
Saturday,21,1,Ambattukavu,Aluva,72
Saturday,21,1,Edappally,Changampuzha Park,37
Saturday,21,1,Pulinchodu,Aluva,61
Saturday,21,1,MG Road,Aluva,10
Saturday,22,1,Pathadipalam,Edappally,71
Saturday,22,1,Edappally,Ambattukavu,78
Saturday,22,1,Cochin University,Kalamassery,57
Saturday,22,1,Muttom,Ambattukavu,35
Saturday,22,1,Muttom,MG Road,69
Sunday,6,1,Changampuzha Park,Cochin University,85
Sunday,6,1,Edappally,Changampuzha Park,37
Sunday,6,1,Kalamassery,Pathadipalam,76
Sunday,6,1,Edappally,Pulinchodu,52
Sunday,6,1,MG Road,Cochin University,43
Sunday,7,1,MG Road,Cochin University,144
Sunday,7,1,Pathadipalam,Cochin University,155
Sunday,7,1,Changampuzha Park,Edappally,141
Sunday,7,1,Kalamassery,Pulinchodu,133
Sunday,7,1,Companypady,Pulinchodu,108
Sunday,8,1,Kalamassery,Edappally,170
Sunday,8,1,Muttom,Pulinchodu,110
Sunday,8,1,Muttom,Ambattukavu,101
Sunday,8,1,Kalamassery,Pulinchodu,166
Sunday,8,1,Companypady,Kalamassery,166
Sunday,9,1,MG Road,Aluva,138
Sunday,9,1,Changampuzha Park,Edappally,167
Sunday,9,1,Muttom,Pathadipalam,193
Sunday,9,1,Aluva,Cochin University,122
Sunday,9,1,Kalamassery,Aluva,135
Sunday,10,1,Companypady,Aluva,161
Sunday,10,1,Pulinchodu,Companypady,120
Sunday,10,1,Ambattukavu,MG Road,118
Sunday,10,1,Ambattukavu,Pulinchodu,122
Sunday,10,1,Changampuzha Park,Cochin University,175
Sunday,11,1,Changampuzha Park,Cochin University,76
Sunday,11,1,Cochin University,Pathadipalam,58
Sunday,11,1,Muttom,Aluva,56
Sunday,11,1,MG Road,Ambattukavu,65
Sunday,11,1,Aluva,Muttom,42
Sunday,12,1,Ambattukavu,Muttom,10
Sunday,12,1,Pulinchodu,Aluva,52
Sunday,12,1,Cochin University,Ambattukavu,72
Sunday,12,1,MG Road,Companypady,39
Sunday,12,1,Companypady,Pathadipalam,28
Sunday,13,1,Muttom,Pulinchodu,28
Sunday,13,1,Edappally,Pathadipalam,42
Sunday,13,1,Ambattukavu,Kalamassery,75
Sunday,13,1,Changampuzha Park,Ambattukavu,62
Sunday,13,1,Kalamassery,MG Road,74
Sunday,14,1,Ambattukavu,Pulinchodu,32
Sunday,14,1,Cochin University,Changampuzha Park,25
Sunday,14,1,Edappally,Muttom,95
Sunday,14,1,Muttom,Aluva,64
Sunday,14,1,Cochin University,Changampuzha Park,22
Sunday,15,1,Pathadipalam,MG Road,38
Sunday,15,1,Edappally,Cochin University,57
Sunday,15,1,Aluva,Pathadipalam,37
Sunday,15,1,Kalamassery,Changampuzha Park,24
Sunday,15,1,Kalamassery,Aluva,51
Sunday,16,1,Pathadipalam,Kalamassery,120
Sunday,16,1,Aluva,Companypady,164
Sunday,16,1,Muttom,Aluva,179
Sunday,16,1,Kalamassery,Ambattukavu,165
Sunday,16,1,Companypady,Kalamassery,149
Sunday,17,1,Pulinchodu,MG Road,181
Sunday,17,1,Cochin University,Aluva,166
Sunday,17,1,Kalamassery,Cochin University,182
Sunday,17,1,Kalamassery,MG Road,145
Sunday,17,1,Companypady,Aluva,140
Sunday,18,1,Cochin University,Pulinchodu,122
Sunday,18,1,Pulinchodu,Muttom,162
Sunday,18,1,Ambattukavu,Edappally,186
Sunday,18,1,Kalamassery,Cochin University,145
Sunday,18,1,Pathadipalam,Kalamassery,173
Sunday,19,1,Kalamassery,Pulinchodu,176
Sunday,19,1,Changampuzha Park,Muttom,131
Sunday,19,1,Cochin University,Changampuzha Park,115
Sunday,19,1,Aluva,MG Road,214
Sunday,19,1,Pulinchodu,Ambattukavu,129
Sunday,20,1,Pulinchodu,Ambattukavu,123
Sunday,20,1,Ambattukavu,Pathadipalam,175
Sunday,20,1,Edappally,Kalamassery,122
Sunday,20,1,Changampuzha Park,Muttom,106
Sunday,20,1,MG Road,Kalamassery,167
Sunday,21,1,Kalamassery,Edappally,16
