day,train,departure_time,status
Monday,T02,12:40:00,ACTIVE
Monday,T03,12:50:00,ACTIVE
Monday,T04,13:00:00,ACTIVE
Monday,T05,13:10:00,ACTIVE
Monday,T06,13:20:00,ACTIVE
Monday,T07,13:30:00,ACTIVE
Monday,T08,13:40:00,ACTIVE
Monday,T09,13:50:00,ACTIVE
Monday,T10,14:00:00,ACTIVE
Monday,T11,14:10:00,ACTIVE
Monday,T12,14:20:00,ACTIVE
Monday,T13,14:30:00,ACTIVE
Monday,T14,14:40:00,ACTIVE
Monday,T15,14:50:00,ACTIVE
Monday,T16,15:00:00,ACTIVE
Monday,T17,15:10:00,ACTIVE
Monday,T18,15:20:00,ACTIVE
Monday,T19,15:30:00,ACTIVE
Monday,T20,15:40:00,ACTIVE
Monday,T21,15:50:00,ACTIVE
Monday,T22,16:00:00,ACTIVE
Monday,T23,16:10:00,ACTIVE
Monday,T24,16:20:00,ACTIVE
Monday,T25,16:30:00,ACTIVE
Monday,T01,16:40:00,ACTIVE
Monday,T02,16:50:00,ACTIVE
Monday,T03,17:00:00,ACTIVE
Monday,T04,17:06:45,ACTIVE
Monday,T05,17:13:30,ACTIVE
Monday,T06,17:20:15,ACTIVE
Monday,T07,17:27:00,ACTIVE
Monday,T08,17:33:45,ACTIVE
Monday,T09,17:40:30,ACTIVE
Monday,T10,17:47:15,ACTIVE
Monday,T11,17:54:00,ACTIVE
Monday,T12,18:00:45,ACTIVE
Monday,T13,18:07:30,ACTIVE
Monday,T14,18:14:15,ACTIVE
Monday,T15,18:21:00,ACTIVE
Monday,T16,18:27:45,ACTIVE
Monday,T17,18:34:30,ACTIVE
Monday,T18,18:41:15,ACTIVE
Monday,T19,18:48:00,ACTIVE
Monday,T20,18:54:45,ACTIVE
Monday,T21,19:01:30,ACTIVE
Monday,T22,19:08:15,ACTIVE
Monday,T23,19:15:00,ACTIVE
Monday,T24,19:21:45,ACTIVE
Monday,T25,19:28:30,ACTIVE
Monday,T01,19:35:15,ACTIVE
Monday,T02,19:42:00,ACTIVE
Monday,T03,19:48:45,ACTIVE
Monday,T04,19:55:30,ACTIVE
Monday,T05,20:00:00,ACTIVE
Monday,T06,20:08:30,ACTIVE
Monday,T07,20:17:00,ACTIVE
Monday,T08,20:25:30,ACTIVE
Monday,T09,20:34:00,ACTIVE
Monday,T10,20:42:30,ACTIVE
Monday,T11,20:51:00,ACTIVE
Monday,T12,20:59:30,ACTIVE
Monday,T13,21:00:00,ACTIVE
Monday,T14,21:10:00,ACTIVE
Monday,T15,21:20:00,ACTIVE
Monday,T16,21:30:00,ACTIVE
Monday,T17,21:40:00,ACTIVE
Monday,T18,21:50:00,ACTIVE
Monday,T19,22:00:00,ACTIVE
Monday,T20,22:10:00,ACTIVE
Monday,T21,22:20:00,ACTIVE
Monday,T22,22:30:00,ACTIVE
Monday,T23,22:40:00,ACTIVE
Monday,T24,22:50:00,ACTIVE
Tuesday,T01,06:00:00,ACTIVE
Tuesday,T02,06:08:30,ACTIVE
Tuesday,T03,06:17:00,ACTIVE
Tuesday,T04,06:25:30,ACTIVE
Tuesday,T05,06:34:00,ACTIVE
Tuesday,T06,06:42:30,ACTIVE
Tuesday,T07,06:51:00,ACTIVE
Tuesday,T08,06:59:30,ACTIVE
Tuesday,T09,07:00:00,ACTIVE
Tuesday,T10,07:06:45,ACTIVE
Tuesday,T11,07:13:30,ACTIVE
Tuesday,T12,07:20:15,ACTIVE
Tuesday,T13,07:27:00,ACTIVE
Tuesday,T14,07:33:45,ACTIVE
Tuesday,T15,07:40:30,ACTIVE
Tuesday,T16,07:47:15,ACTIVE
Tuesday,T17,07:54:00,ACTIVE
Tuesday,T18,08:00:45,ACTIVE
Tuesday,T19,08:07:30,ACTIVE
Tuesday,T20,08:14:15,ACTIVE
Tuesday,T21,08:21:00,ACTIVE
Tuesday,T22,08:27:45,ACTIVE
Tuesday,T23,08:34:30,ACTIVE
Tuesday,T24,08:41:15,ACTIVE
Tuesday,T25,08:48:00,ACTIVE
Tuesday,T01,08:54:45,ACTIVE
Tuesday,T02,09:00:00,ACTIVE
Tuesday,T03,09:08:30,ACTIVE
Tuesday,T04,09:17:00,ACTIVE
Tuesday,T05,09:25:30,ACTIVE
Tuesday,T06,09:34:00,ACTIVE
Tuesday,T07,09:42:30,ACTIVE
Tuesday,T08,09:51:00,ACTIVE
Tuesday,T09,09:59:30,ACTIVE
Tuesday,T10,10:08:00,ACTIVE
Tuesday,T11,10:16:30,ACTIVE
Tuesday,T12,10:25:00,ACTIVE
Tuesday,T13,10:33:30,ACTIVE
Tuesday,T14,10:42:00,ACTIVE
Tuesday,T15,10:50:30,ACTIVE
Tuesday,T16,10:59:00,ACTIVE
Tuesday,T17,11:00:00,ACTIVE
Tuesday,T18,11:10:00,ACTIVE
Tuesday,T19,11:20:00,ACTIVE
Tuesday,T20,11:30:00,ACTIVE
Tuesday,T21,11:40:00,ACTIVE
Tuesday,T22,11:50:00,ACTIVE
Tuesday,T23,12:00:00,ACTIVE
Tuesday,T24,12:10:00,ACTIVE
Tuesday,T25,12:20:00,ACTIVE
Tuesday,T01,12:30:00,ACTIVE
Tuesday,T02,12:40:00,ACTIVE
Tuesday,T03,12:50:00,ACTIVE
Tuesday,T04,13:00:00,ACTIVE
Tuesday,T05,13:10:00,ACTIVE
Tuesday,T06,13:20:00,ACTIVE
Tuesday,T07,13:30:00,ACTIVE
Tuesday,T08,13:40:00,ACTIVE
Tuesday,T09,13:50:00,ACTIVE
Tuesday,T10,14:00:00,ACTIVE
Tuesday,T11,14:10:00,ACTIVE
Tuesday,T12,14:20:00,ACTIVE
Tuesday,T13,14:30:00,ACTIVE
Tuesday,T14,14:40:00,ACTIVE
Tuesday,T15,14:50:00,ACTIVE
Tuesday,T16,15:00:00,ACTIVE
Tuesday,T17,15:10:00,ACTIVE
Tuesday,T18,15:20:00,ACTIVE
Tuesday,T19,15:30:00,ACTIVE
Tuesday,T20,15:40:00,ACTIVE
Tuesday,T21,15:50:00,ACTIVE
Tuesday,T22,16:00:00,ACTIVE
Tuesday,T23,16:10:00,ACTIVE
Tuesday,T24,16:20:00,ACTIVE
Tuesday,T25,16:30:00,ACTIVE
Tuesday,T01,16:40:00,ACTIVE
Tuesday,T02,16:50:00,ACTIVE
Tuesday,T03,17:00:00,ACTIVE
Tuesday,T04,17:06:45,ACTIVE
Tuesday,T05,17:13:30,ACTIVE
Tuesday,T06,17:20:15,ACTIVE
Tuesday,T07,17:27:00,ACTIVE
Tuesday,T08,17:33:45,ACTIVE
Tuesday,T09,17:40:30,ACTIVE
Tuesday,T10,17:47:15,ACTIVE
Tuesday,T11,17:54:00,ACTIVE
Tuesday,T12,18:00:45,ACTIVE
Tuesday,T13,18:07:30,ACTIVE
Tuesday,T14,18:14:15,ACTIVE
Tuesday,T15,18:21:00,ACTIVE
Tuesday,T16,18:27:45,ACTIVE
Tuesday,T17,18:34:30,ACTIVE
Tuesday,T18,18:41:15,ACTIVE
Tuesday,T19,18:48:00,ACTIVE
Tuesday,T20,18:54:45,ACTIVE
Tuesday,T21,19:01:30,ACTIVE
Tuesday,T22,19:08:15,ACTIVE
Tuesday,T23,19:15:00,ACTIVE
Tuesday,T24,19:21:45,ACTIVE
Tuesday,T25,19:28:30,ACTIVE
Tuesday,T01,19:35:15,ACTIVE
Tuesday,T02,19:42:00,ACTIVE
Tuesday,T03,19:48:45,ACTIVE
Tuesday,T04,19:55:30,ACTIVE
Tuesday,T05,20:00:00,ACTIVE
Tuesday,T06,20:08:30,ACTIVE
Tuesday,T07,20:17:00,ACTIVE
Tuesday,T08,20:25:30,ACTIVE
Tuesday,T09,20:34:00,ACTIVE
Tuesday,T10,20:42:30,ACTIVE
Tuesday,T11,20:51:00,ACTIVE
Tuesday,T12,20:59:30,ACTIVE
Tuesday,T13,21:00:00,ACTIVE
Tuesday,T14,21:10:00,ACTIVE
Tuesday,T15,21:20:00,ACTIVE
Tuesday,T16,21:30:00,ACTIVE
Tuesday,T17,21:40:00,ACTIVE
Tuesday,T18,21:50:00,ACTIVE
Tuesday,T19,22:00:00,ACTIVE
Tuesday,T20,22:10:00,ACTIVE
Tuesday,T21,22:20:00,ACTIVE
Tuesday,T22,22:30:00,ACTIVE
Tuesday,T23,22:40:00,ACTIVE
Tuesday,T24,22:50:00,ACTIVE
Wednesday,T01,06:00:00,ACTIVE
Wednesday,T02,06:08:30,ACTIVE
Wednesday,T03,06:17:00,ACTIVE
Wednesday,T04,06:25:30,ACTIVE
Wednesday,T05,06:34:00,ACTIVE
Wednesday,T06,06:42:30,ACTIVE
Wednesday,T07,06:51:00,ACTIVE
Wednesday,T08,06:59:30,ACTIVE
Wednesday,T09,07:00:00,ACTIVE
Wednesday,T10,07:06:45,ACTIVE
Wednesday,T11,07:13:30,ACTIVE
Wednesday,T12,07:20:15,ACTIVE
Wednesday,T13,07:27:00,ACTIVE
Wednesday,T14,07:33:45,ACTIVE
Wednesday,T15,07:40:30,ACTIVE
Wednesday,T16,07:47:15,ACTIVE
Wednesday,T17,07:54:00,ACTIVE
Wednesday,T18,08:00:45,ACTIVE
Wednesday,T19,08:07:30,ACTIVE
Wednesday,T20,08:14:15,ACTIVE
Wednesday,T21,08:21:00,ACTIVE
Wednesday,T22,08:27:45,ACTIVE
Wednesday,T23,08:34:30,ACTIVE
Wednesday,T24,08:41:15,ACTIVE
Wednesday,T25,08:48:00,ACTIVE
Wednesday,T01,08:54:45,ACTIVE
Wednesday,T02,09:00:00,ACTIVE
Wednesday,T03,09:08:30,ACTIVE
Wednesday,T04,09:17:00,ACTIVE
Wednesday,T05,09:25:30,ACTIVE
Wednesday,T06,09:34:00,ACTIVE
Wednesday,T07,09:42:30,ACTIVE
Wednesday,T08,09:51:00,ACTIVE
Wednesday,T09,09:59:30,ACTIVE
Wednesday,T10,10:08:00,ACTIVE
Wednesday,T11,10:16:30,ACTIVE
Wednesday,T12,10:25:00,ACTIVE
Wednesday,T13,10:33:30,ACTIVE
Wednesday,T14,10:42:00,ACTIVE
Wednesday,T15,10:50:30,ACTIVE
Wednesday,T16,10:59:00,ACTIVE
Wednesday,T17,11:00:00,ACTIVE
Wednesday,T18,11:10:00,ACTIVE
Wednesday,T19,11:20:00,ACTIVE
Wednesday,T20,11:30:00,ACTIVE
Wednesday,T21,11:40:00,ACTIVE
Wednesday,T22,11:50:00,ACTIVE
Wednesday,T23,12:00:00,ACTIVE
Wednesday,T24,12:10:00,ACTIVE
Wednesday,T25,12:20:00,ACTIVE
Wednesday,T01,12:30:00,ACTIVE
Wednesday,T02,12:40:00,ACTIVE
Wednesday,T03,12:50:00,ACTIVE
Wednesday,T04,13:00:00,ACTIVE
Wednesday,T05,13:10:00,ACTIVE
Wednesday,T06,13:20:00,ACTIVE
Wednesday,T07,13:30:00,ACTIVE
Wednesday,T08,13:40:00,ACTIVE
Wednesday,T09,13:50:00,ACTIVE
Wednesday,T10,14:00:00,ACTIVE
Wednesday,T11,14:10:00,ACTIVE
Wednesday,T12,14:20:00,ACTIVE
Wednesday,T13,14:30:00,ACTIVE
Wednesday,T14,14:40:00,ACTIVE
Wednesday,T15,14:50:00,ACTIVE
Wednesday,T16,15:00:00,ACTIVE
Wednesday,T17,15:10:00,ACTIVE
Wednesday,T18,15:20:00,ACTIVE
Wednesday,T19,15:30:00,ACTIVE
Wednesday,T20,15:40:00,ACTIVE
Wednesday,T21,15:50:00,ACTIVE
Wednesday,T22,16:00:00,ACTIVE
Wednesday,T23,16:10:00,ACTIVE
Wednesday,T24,16:20:00,ACTIVE
Wednesday,T25,16:30:00,ACTIVE
Wednesday,T01,16:40:00,ACTIVE
Wednesday,T02,16:50:00,ACTIVE
Wednesday,T03,17:00:00,ACTIVE
Wednesday,T04,17:06:45,ACTIVE
Wednesday,T05,17:13:30,ACTIVE
Wednesday,T06,17:20:15,ACTIVE
Wednesday,T07,17:27:00,ACTIVE
Wednesday,T08,17:33:45,ACTIVE
Wednesday,T09,17:40:30,ACTIVE
Wednesday,T10,17:47:15,ACTIVE
Wednesday,T11,17:54:00,ACTIVE
Wednesday,T12,18:00:45,ACTIVE
Wednesday,T13,18:07:30,ACTIVE
Wednesday,T14,18:14:15,ACTIVE
Wednesday,T15,18:21:00,ACTIVE
Wednesday,T16,18:27:45,ACTIVE
Wednesday,T17,18:34:30,ACTIVE
Wednesday,T18,18:41:15,ACTIVE
Wednesday,T19,18:48:00,ACTIVE
Wednesday,T20,18:54:45,ACTIVE
Wednesday,T21,19:01:30,ACTIVE
Wednesday,T22,19:08:15,ACTIVE
Wednesday,T23,19:15:00,ACTIVE
Wednesday,T24,19:21:45,ACTIVE
Wednesday,T25,19:28:30,ACTIVE
Wednesday,T01,19:35:15,ACTIVE
Wednesday,T02,19:42:00,ACTIVE
Wednesday,T03,19:48:45,ACTIVE
Wednesday,T04,19:55:30,ACTIVE
Wednesday,T05,20:00:00,ACTIVE
Wednesday,T06,20:08:30,ACTIVE
Wednesday,T07,20:17:00,ACTIVE
Wednesday,T08,20:25:30,ACTIVE
Wednesday,T09,20:34:00,ACTIVE
Wednesday,T10,20:42:30,ACTIVE
Wednesday,T11,20:51:00,ACTIVE
Wednesday,T12,20:59:30,ACTIVE
Wednesday,T13,21:00:00,ACTIVE
Wednesday,T14,21:10:00,ACTIVE
Wednesday,T15,21:20:00,ACTIVE
Wednesday,T16,21:30:00,ACTIVE
Wednesday,T17,21:40:00,ACTIVE
Wednesday,T18,21:50:00,ACTIVE
Wednesday,T19,22:00:00,ACTIVE
Wednesday,T20,22:10:00,ACTIVE
Wednesday,T21,22:20:00,ACTIVE
Wednesday,T22,22:30:00,ACTIVE
Wednesday,T23,22:40:00,ACTIVE
Wednesday,T24,22:50:00,ACTIVE
Thursday,T01,06:00:00,ACTIVE
Thursday,T02,06:08:30,ACTIVE
Thursday,T03,06:17:00,ACTIVE
Thursday,T04,06:25:30,ACTIVE
Thursday,T05,06:34:00,ACTIVE
Thursday,T06,06:42:30,ACTIVE
Thursday,T07,06:51:00,ACTIVE
Thursday,T08,06:59:30,ACTIVE
Thursday,T09,07:00:00,ACTIVE
Thursday,T10,07:06:45,ACTIVE
Thursday,T11,07:13:30,ACTIVE
Thursday,T12,07:20:15,ACTIVE
Thursday,T13,07:27:00,ACTIVE
Thursday,T14,07:33:45,ACTIVE
Thursday,T15,07:40:30,ACTIVE
Thursday,T16,07:47:15,ACTIVE
Thursday,T17,07:54:00,ACTIVE
Thursday,T18,08:00:45,ACTIVE
Thursday,T19,08:07:30,ACTIVE
Thursday,T20,08:14:15,ACTIVE
Thursday,T21,08:21:00,ACTIVE
Thursday,T22,08:27:45,ACTIVE
Thursday,T23,08:34:30,ACTIVE
Thursday,T24,08:41:15,ACTIVE
Thursday,T25,08:48:00,ACTIVE
Thursday,T01,08:54:45,ACTIVE
Thursday,T02,09:00:00,ACTIVE
Thursday,T03,09:08:30,ACTIVE
Thursday,T04,09:17:00,ACTIVE
Thursday,T05,09:25:30,ACTIVE
Thursday,T06,09:34:00,ACTIVE
Thursday,T07,09:42:30,ACTIVE
Thursday,T08,09:51:00,ACTIVE
Thursday,T09,09:59:30,ACTIVE
Thursday,T10,10:08:00,ACTIVE
Thursday,T11,10:16:30,ACTIVE
Thursday,T12,10:25:00,ACTIVE
Thursday,T13,10:33:30,ACTIVE
Thursday,T14,10:42:00,ACTIVE
Thursday,T15,10:50:30,ACTIVE
Thursday,T16,10:59:00,ACTIVE
Thursday,T17,11:00:00,ACTIVE
Thursday,T18,11:10:00,ACTIVE
Thursday,T19,11:20:00,ACTIVE
Thursday,T20,11:30:00,ACTIVE
Thursday,T21,11:40:00,ACTIVE
Thursday,T22,11:50:00,ACTIVE
Thursday,T23,12:00:00,ACTIVE
Thursday,T24,12:10:00,ACTIVE
Thursday,T25,12:20:00,ACTIVE
Thursday,T01,12:30:00,ACTIVE
Thursday,T02,12:40:00,ACTIVE
Thursday,T03,12:50:00,ACTIVE
Thursday,T04,13:00:00,ACTIVE
Thursday,T05,13:10:00,ACTIVE
Thursday,T06,13:20:00,ACTIVE
Thursday,T07,13:30:00,ACTIVE
Thursday,T08,13:40:00,ACTIVE
Thursday,T09,13:50:00,ACTIVE
Thursday,T10,14:00:00,ACTIVE
Thursday,T11,14:10:00,ACTIVE
Thursday,T12,14:20:00,ACTIVE
Thursday,T13,14:30:00,ACTIVE
Thursday,T14,14:40:00,ACTIVE
Thursday,T15,14:50:00,ACTIVE
Thursday,T16,15:00:00,ACTIVE
Thursday,T17,15:10:00,ACTIVE
Thursday,T18,15:20:00,ACTIVE
Thursday,T19,15:30:00,ACTIVE
Thursday,T20,15:40:00,ACTIVE
Thursday,T21,15:50:00,ACTIVE
Thursday,T22,16:00:00,ACTIVE
Thursday,T23,16:10:00,ACTIVE
Thursday,T24,16:20:00,ACTIVE
Thursday,T25,16:30:00,ACTIVE
Thursday,T01,16:40:00,ACTIVE
Thursday,T02,16:50:00,ACTIVE
Thursday,T03,17:00:00,ACTIVE
Thursday,T04,17:06:45,ACTIVE
Thursday,T05,17:13:30,ACTIVE
Thursday,T06,17:20:15,ACTIVE
Thursday,T07,17:27:00,ACTIVE
Thursday,T08,17:33:45,ACTIVE
Thursday,T09,17:40:30,ACTIVE
Thursday,T10,17:47:15,ACTIVE
Thursday,T11,17:54:00,ACTIVE
Thursday,T12,18:00:45,ACTIVE
Thursday,T13,18:07:30,ACTIVE
Thursday,T14,18:14:15,ACTIVE
Thursday,T15,18:21:00,ACTIVE
Thursday,T16,18:27:45,ACTIVE
Thursday,T17,18:34:30,ACTIVE
Thursday,T18,18:41:15,ACTIVE
Thursday,T19,18:48:00,ACTIVE
Thursday,T20,18:54:45,ACTIVE
Thursday,T21,19:01:30,ACTIVE
Thursday,T22,19:08:15,ACTIVE
Thursday,T23,19:15:00,ACTIVE
Thursday,T24,19:21:45,ACTIVE
Thursday,T25,19:28:30,ACTIVE
Thursday,T01,19:35:15,ACTIVE
Thursday,T02,19:42:00,ACTIVE
Thursday,T03,19:48:45,ACTIVE
Thursday,T04,19:55:30,ACTIVE
Thursday,T05,20:00:00,ACTIVE
Thursday,T06,20:08:30,ACTIVE
Thursday,T07,20:17:00,ACTIVE
Thursday,T08,20:25:30,ACTIVE
Thursday,T09,20:34:00,ACTIVE
Thursday,T10,20:42:30,ACTIVE
Thursday,T11,20:51:00,ACTIVE
Thursday,T12,20:59:30,ACTIVE
Thursday,T13,21:00:00,ACTIVE
Thursday,T14,21:10:00,ACTIVE
Thursday,T15,21:20:00,ACTIVE
Thursday,T16,21:30:00,ACTIVE
Thursday,T17,21:40:00,ACTIVE
Thursday,T18,21:50:00,ACTIVE
Thursday,T19,22:00:00,ACTIVE
Thursday,T20,22:10:00,ACTIVE
Thursday,T21,22:20:00,ACTIVE
Thursday,T22,22:30:00,ACTIVE
Thursday,T23,22:40:00,ACTIVE
Thursday,T24,22:50:00,ACTIVE
Friday,T01,06:00:00,ACTIVE
Friday,T02,06:08:30,ACTIVE
Friday,T03,06:17:00,ACTIVE
Friday,T04,06:25:30,ACTIVE
Friday,T05,06:34:00,ACTIVE
Friday,T06,06:42:30,ACTIVE
Friday,T07,06:51:00,ACTIVE
Friday,T08,06:59:30,ACTIVE
Friday,T09,07:00:00,ACTIVE
Friday,T10,07:06:45,ACTIVE
Friday,T11,07:13:30,ACTIVE
Friday,T12,07:20:15,ACTIVE
Friday,T13,07:27:00,ACTIVE
Friday,T14,07:33:45,ACTIVE
Friday,T15,07:40:30,ACTIVE
Friday,T16,07:47:15,ACTIVE
Friday,T17,07:54:00,ACTIVE
Friday,T18,08:00:45,ACTIVE
Friday,T19,08:07:30,ACTIVE
Friday,T20,08:14:15,ACTIVE
Friday,T21,08:21:00,ACTIVE
Friday,T22,08:27:45,ACTIVE
Friday,T23,08:34:30,ACTIVE
Friday,T24,08:41:15,ACTIVE
Friday,T25,08:48:00,ACTIVE
Friday,T01,08:54:45,ACTIVE
Friday,T02,09:00:00,ACTIVE
Friday,T03,09:08:30,ACTIVE
Friday,T04,09:17:00,ACTIVE
Friday,T05,09:25:30,ACTIVE
Friday,T06,09:34:00,ACTIVE
Friday,T07,09:42:30,ACTIVE
Friday,T08,09:51:00,ACTIVE
Friday,T09,09:59:30,ACTIVE
Friday,T10,10:08:00,ACTIVE
Friday,T11,10:16:30,ACTIVE
Friday,T12,10:25:00,ACTIVE
Friday,T13,10:33:30,ACTIVE
Friday,T14,10:42:00,ACTIVE
Friday,T15,10:50:30,ACTIVE
Friday,T16,10:59:00,ACTIVE
Friday,T17,11:00:00,ACTIVE
Friday,T18,11:10:00,ACTIVE
Friday,T19,11:20:00,ACTIVE
Friday,T20,11:30:00,ACTIVE
Friday,T21,11:40:00,ACTIVE
Friday,T22,11:50:00,ACTIVE
Friday,T23,12:00:00,ACTIVE
Friday,T24,12:10:00,ACTIVE
Friday,T25,12:20:00,ACTIVE
Friday,T01,12:30:00,ACTIVE
Friday,T02,12:40:00,ACTIVE
Friday,T03,12:50:00,ACTIVE
Friday,T04,13:00:00,ACTIVE
Friday,T05,13:10:00,ACTIVE
Friday,T06,13:20:00,ACTIVE
Friday,T07,13:30:00,ACTIVE
Friday,T08,13:40:00,ACTIVE
Friday,T09,13:50:00,ACTIVE
Friday,T10,14:00:00,ACTIVE
Friday,T11,14:10:00,ACTIVE
Friday,T12,14:20:00,ACTIVE
Friday,T13,14:30:00,ACTIVE
Friday,T14,14:40:00,ACTIVE
Friday,T15,14:50:00,ACTIVE
Friday,T16,15:00:00,ACTIVE
Friday,T17,15:10:00,ACTIVE
Friday,T18,15:20:00,ACTIVE
Friday,T19,15:30:00,ACTIVE
Friday,T20,15:40:00,ACTIVE
Friday,T21,15:50:00,ACTIVE
Friday,T22,16:00:00,ACTIVE
Friday,T23,16:10:00,ACTIVE
Friday,T24,16:20:00,ACTIVE
Friday,T25,16:30:00,ACTIVE
Friday,T01,16:40:00,ACTIVE
Friday,T02,16:50:00,ACTIVE
Friday,T03,17:00:00,ACTIVE
Friday,T04,17:06:45,ACTIVE
Friday,T05,17:13:30,ACTIVE
Friday,T06,17:20:15,ACTIVE
Friday,T07,17:27:00,ACTIVE
Friday,T08,17:33:45,ACTIVE
Friday,T09,17:40:30,ACTIVE
Friday,T10,17:47:15,ACTIVE
Friday,T11,17:54:00,ACTIVE
Friday,T12,18:00:45,ACTIVE
Friday,T13,18:07:30,ACTIVE
Friday,T14,18:14:15,ACTIVE
Friday,T15,18:21:00,ACTIVE
Friday,T16,18:27:45,ACTIVE
Friday,T17,18:34:30,ACTIVE
Friday,T18,18:41:15,ACTIVE
Friday,T19,18:48:00,ACTIVE
Friday,T20,18:54:45,ACTIVE
Friday,T21,19:01:30,ACTIVE
Friday,T22,19:08:15,ACTIVE
Friday,T23,19:15:00,ACTIVE
Friday,T24,19:21:45,ACTIVE
Friday,T25,19:28:30,ACTIVE
Friday,T01,19:35:15,ACTIVE
Friday,T02,19:42:00,ACTIVE
Friday,T03,19:48:45,ACTIVE
Friday,T04,19:55:30,ACTIVE
Friday,T05,20:00:00,ACTIVE
Friday,T06,20:08:30,ACTIVE
Friday,T07,20:17:00,ACTIVE
Friday,T08,20:25:30,ACTIVE
Friday,T09,20:34:00,ACTIVE
Friday,T10,20:42:30,ACTIVE
Friday,T11,20:51:00,ACTIVE
Friday,T12,20:59:30,ACTIVE
Friday,T13,21:00:00,ACTIVE
Friday,T14,21:10:00,ACTIVE
Friday,T15,21:20:00,ACTIVE
Friday,T16,21:30:00,ACTIVE
Friday,T17,21:40:00,ACTIVE
Friday,T18,21:50:00,ACTIVE
Friday,T19,22:00:00,ACTIVE
Friday,T20,22:10:00,ACTIVE
Friday,T21,22:20:00,ACTIVE
Friday,T22,22:30:00,ACTIVE
Friday,T23,22:40:00,ACTIVE
Friday,T24,22:50:00,ACTIVE
